date,count
20080920053940,207
20081014222852,286
20081127173137,465
20081211180735,592
20090107143630,917
20090210224044,90
20090402062947,9711
20090506041525,856489
20090606045312,1326843
20090716031323,1892277
20090801030928,1964976
20090918033250,2212809
20091002202232,2285990
20091101154333,2523826
20100104172817,2928993
20100202002954,3098337
20100326114738,3313607
20100406093938,3358191
20100507105124,3495218
20100606074318,3641974
20100706121059,3760630
20100806105250,3905040
20100906160730,4176698
20101006161725,4367019
20101102222318,4494208
20101202032531,4630364
20110106184320,4808958
20110209230839,5047336
20110302010120,5210603
20110406123403,5516540
20110518050200,5874552
20110615172940,6273022
20110704170048,6515360
20110803061829,6884414
20110907083628,7287182
20111007110524,7643973
20111103025435,8017554
20111214175617,8521707
20120116022740,8855559
20120201034329,9037516
20120311183307,9740005
20120403043436,10390228
20120520102539,11432712
20120617175021,12105153
20120708084214,12556770
20120806171604,13093384
20120902062140,13597392
20121007054454,14190726
20121101065118,14591396
20121201105541,15087035
20130101135543,15604791
20130204013349,16399462
20130308210817,17160984
20130401211514,17743285
20130502200502,18491475
20130606210205,19136459
20130704185724,19645550
20130801193109,20122863
20130901042829,20674115
20131003191554,21318408
20131106071321,21972290
20131201045958,22337101
20140101051333,22633135
20140201094757,23003492
20140302034518,23325568
20140401045518,23681619
20140501052439,23975885
20140601050137,24293845
20140701172217,24608767
20140802185900,24934914
20140912200946,25297346
20141001153021,25435815
20141214012652,26055632
20150109153050,26342178
20150206161250,26670003
20150311133817,26890043
20150403031905,27071677
20150502083724,27315765
20150605064303,27767445
20150707144940,28211967
20150807133309,28517662
20150903175915,28770771
20151013233054,29292814
20151101213342,29510559
20151204222029,29921157
20160118083235,30942362
20160202090530,30948890
20160302193535,31691883
20160403092022,32010642
20160501203358,32331865
20160616053508,32797741
20160701110912,32948601
20160803084524,33322359
20160902172144,33695097
20161001111907,34219297
20161102174948,34631549
20161204135915,35018130
20170103135418,35309905
20170203122108,35638206
20170301033615,35821238
20170401150512,36150070
20170504111648,36661209
20170603101225,37140000
20170706014311,37440441
