date,count
20160206064343,1,472,292
20160206064423,1,472,292
20160206083036,1,472,433
20160207035649,1,474,539
20160207073225,1,474,539
20160208060533,1,477,711
20160208123802,1,478,810
20160208163730,1,478,810
20160208194505,1,479,247
20160209035043,1,480,411
20160209084142,1,480,908
20160210023348,1,483,243
20160210041813,1,483,653
20160210174624,1,485,042
20160210193736,1,485,042
20160211224302,1,488,493
20160211235316,1,488,493
20160212062702,1,488,493
20160212214955,1,490,662
20160213013904,1,491,104
20160213032212,1,491,104
20160213072352,1,491,744
20160214024243,1,494,112
20160214043907,1,494,812
20160215025829,1,497,846
20160215074534,1,498,321
20160215084027,1,498,321
20160215232714,1,500,112
20160216031047,1,500,608
20160216082430,1,501,075
20160216082431,1,501,075
20160217022939,1,502,951
20160217123300,1,504,087
20160218031847,1,505,586
20160218095338,1,506,149
20160218131342,1,506,397
20160219172710,1,509,124
20160219204842,1,509,440
20160219235840,1,509,686
20160220175059,1,511,206
20160220212145,1,511,542
20160221221911,1,514,225
20160222012948,1,514,225
20160223011517,1,517,577
20160223052029,1,518,308
20160223081449,1,518,308
20160224013106,1,520,201
20160224061905,1,521,203
20160224103038,1,521,203
20160225063055,1,523,753
20160225084527,1,523,753
20160226073616,1,527,158
20160226222339,1,528,847
20160227092547,1,529,986
20160228120840,1,532,463
20160228133556,1,532,578
20160228161641,1,532,578
20160229131156,1,534,858
20160229220923,1,535,743
20160301022405,1,536,305
20160301061333,1,536,891
20160302011801,1,538,943
20160302024334,1,538,943
20160302134157,1,540,580
20160302201742,1,541,371
20160303022641,1,542,263
20160303022642,1,542,263
20160303150451,1,543,702
20160304045042,1,550,748
20160304045043,1,550,748
20160304055318,1,551,435
20160304083122,1,552,016
20160304121633,1,552,488
20160308111105,1,563,970
20160311160608,1,573,074
20160312230955,1,577,259
20160314011310,1,579,951
20160315055959,1,582,896
20160315142114,1,583,564
20160316135046,1,588,005
20160316183512,1,588,585
20160317013021,1,589,354
20160317013022,1,589,354
20160317132303,1,590,578
20160318032826,1,592,872
20160319201317,1,601,050
20160320030038,1,602,255
20160320195702,1,604,417
20160321154417,1,607,067
20160322040344,1,608,679
20160322080352,1,609,009
20160322080854,1,609,009
20160323055415,1,611,463
20160323161257,1,612,255
20160323185359,1,612,534
20160324154341,1,614,722
20160324190820,1,616,046
20160325162518,1,620,844
20160326002057,1,622,067
20160327170036,1,625,316
20160328194738,1,627,195
20160329121458,1,628,216
20160329170027,1,628,591
20160330063034,1,629,635
20160330154609,1,630,147
20160330204004,1,630,552
20160330212134,1,630,596
20160331124626,1,631,555
20160401142106,1,633,133
20160402094550,1,634,722
20160402132408,1,634,722
20160403112848,1,635,976
20160403232323,1,636,981
20160404123054,1,637,768
20160405004941,1,638,459
20160405113051,1,638,968
20160407081629,1,640,884
20160407121356,1,641,033
20160407124806,1,641,066
20160408001950,1,641,852
20160408165529,1,642,621
20160409112647,1,643,577
20160409135838,1,643,735
20160410020246,1,643,735
20160410162605,1,645,161
20160410181338,1,645,274
20160411121859,1,646,113
20160412015118,1,646,896
20160412082609,1,647,203
20160412162849,1,647,618
20160413001108,1,648,161
20160413144632,1,648,834
20160414004450,1,649,690
20160414182703,1,651,133
20160415013738,1,651,696
20160415013740,1,651,696
20160415152218,1,652,856
20160416230750,1,654,676
20160417143725,1,655,502
20160417161017,1,655,624
20160418123152,1,656,798
20160419204413,1,658,773
20160420185007,1,660,639
20160422153305,1,663,629
20160423024939,1,664,360
20160423134633,1,664,895
20160424135446,1,666,159
20160425171625,1,667,684
20160426171434,1,669,171
20160427172931,1,670,910
20160428112313,1,672,131
20160429110249,1,673,820
20160429110249,1,673,820
20160430092132,1,675,531
20160430193019,1,676,126
20160430193019,1,676,126
20160501001430,1,676,376
20160501221500,1,677,581
20160501221500,1,677,581
20160502200719,1,678,610
20160502200719,1,678,610
20160503133812,1,679,477
20160503133812,1,679,477
20160503223822,1,679,947
20160504212602,1,681,546
20160505030620,1,681,925
20160505041319,1,681,992
20160505205502,1,682,649
20160506180017,1,683,699
20160507181747,1,684,875
20160508195814,1,686,117
20160508215651,1,686,192
20160513055915,1,691,896
20160514091119,1,693,782
20160516234728,1,698,599
20160516234728,1,698,599
20160517204036,1,701,214
20160517204039,1,701,214
20160518013457,1,704,707
20160518231854,1,709,174
20160524015543,1,720,919
20160526102703,1,726,080
20160530222619,1,736,303
20160604110643,1,746,574
20160607051931,1,751,919
20160608195012,1,755,053
20160611151045,1,761,248
20160613191146,1,767,778
20160615013021,1,771,744
20160616165133,1,776,092
20160620204727,1,784,291
20160622070442,1,787,827
20160629173314,1,804,841
20160708115452,1,827,164
20160709102646,1,830,457
20160715032248,1,846,782
20160716055948,1,850,867
20160720144954,1,864,934
20160722071131,1,872,189
20160723210936,1,877,946
20160728210059,1,898,841
20160730041044,1,904,933
20160731032735,1,907,138
20160731230721,1,909,014
20160801230529,1,911,246
20160803044130,1,918,376
20160803234100,1,921,128
20160804064105,1,922,031
20160813223548,1,941,517
20160818062430,1,949,779
20160820092745,1,953,114
20160820184827,1,953,749
20160902121512,1,970,217
20160904224423,1,972,801
20160911174538,1,979,431
20160928164400,2,004,807
20160930205900,2,007,637
20161001025747,2,008,191
20161001043633,2,008,306
20161002033905,2,009,270
20161002034859,2,009,272
20161002034902,2,009,272
20161002052417,2,009,333
20161003054531,2,010,086
20161003100549,2,010,154
20161004054532,2,011,034
20161004112412,2,011,192
20161004163615,2,011,510
